"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
sportif,consultation,enfant,supprimer,pouvoir,santé,charge,maladie,1
téléconsultation,soin,parcours,consultation,permettre,faire,public,compléter,1
social,sécurité,compensation,budget,vise,supprimer,prévoir,maladie,1
social,sécurité,compensation,budget,vise,faire,supprimer,prévoir,1
social,sécurité,chiffre,allègement,permettre,charge,dispositif,perte,1
social,sécurité,budget,supprimer,public,degré,perte,disposition,1
travail,employeur,entreprise,exonération,sécurité,vise,supprimer,charge,1
social,sécurité,année,dispositif,devoir,faire,rédiger,degré,1
social,sécurité,année,dispositif,devoir,faire,degré,droit,1
social,sécurité,an,dispositif,pouvoir,devoir,supprimer,prévoir,1
téléconsultation,téléphone,insérer,accès,insérer,accès,convier,préciser,1
social,système,français,sécurité,rédiger,droit,état,mettre,1
urgence,activité,financement,santé,pouvoir,devoir,rédiger,prévoir,1
social,supprimer,vise,revenir,sécurité,santé,devoir,vise,1
télémédecine,médical,téléconsultation,effectuer,vise,permettre,insérer,dispositif,1
sportif,fédération,médical,compétition,social,vise,supprimer,public,1
travail,délai,carence,temps,santé,permettre,rédiger,dispositif,1
social,supprimer,sécurité,année,pouvoir,charge,perte,conséquence,1
social,supprimer,nombre,risquer,sécurité,vise,cotisation,travail,1
sportif,fédération,médical,santé,supprimer,insérer,prévoir,état,1
sportif,médical,autoévaluation,disposition,vise,nouveau,proposer,activité,1
urgence,activité,financement,santé,pouvoir,devoir,prévoir,général,1
social,supprimer,avancement,janvier,sécurité,supprimer,état,pourcent,1
social,degré,renforcer,entreprise,sécurité,devoir,permettre,faire,1
substituer,juillet,vigueur,département,substituer,vigueur,juillet,rédactionnel,1
équité,efficience,cnsa,branche,santé,devoir,état,soin,1
zone,médical,franc,pourcent,sécurité,vise,état,organisme,1
santé,répartition,régional,indice,social,permettre,public,insérer,1
supprimer,conserver,allocation,éducation,supprimer,prestation,allocation,autonomie,1
supprimer,consigne,pouvoir,dispositif,vise,disposition,cas,mise,1
santé,représentant,ville,discussion,social,sécurité,pouvoir,public,1
santé,questionnaire,autoévaluation,sportif,vise,supprimer,nouveau,activité,1
santé,public,priver,comité,prévoir,état,nouveau,montant,1
santé,public,compléter,dernier,compléter,établissement,dernier,numéro,1
supprimer,conséquence,dispositif,fin,sécurité,vise,compléter,état,1
santé,psychiatrie,financement,mental,supprimer,compléter,proposer,titre,1
supprimer,conséquence,projet,allocation,sécurité,financement,dispositif,compléter,1
santé,prévention,supprimer,population,social,sécurité,vise,dispositif,1
santé,service,armée,compléter,social,sécurité,compléter,année,1
âge,bénéficiaire,fonction,aller,devoir,supprimer,prévoir,soin,1
santé,prévention,bilan,insérer,social,pouvoir,devoir,vise,1
santé,projet,territorial,population,faire,rédiger,nouveau,activité,1
supprimer,convention,actuel,repousse,devoir,permettre,nouveau,an,1
santé,projet,territorial,mental,faire,rédiger,nouveau,activité,1
supprimer,convention,médical,charge,permettre,maladie,nouveau,assurance,1
santé,projet,territorial,mental,faire,insérer,rédiger,nouveau,1
santé,professionnel,public,degré,devoir,vise,rédiger,compléter,1
santé,professionnel,libéral,pouvoir,prévoir,charge,année,soin,1
santé,professionnel,aide,revalorisation,social,vise,public,charge,1
santé,répartition,régional,offre,vise,public,rédiger,compléter,1
transport,guadeloupe,convention,système,vise,rédiger,prévoir,compléter,1
santé,prise,charge,téléconsultation,social,pouvoir,compléter,droit,1
supprimer,assistant,maternel,agrément,devoir,vise,nouveau,déjà,1
santé,vaccinal,vaccination,téléconsultation,compléter,pourcent,mise,médical,1
supprimer,accord,prime,entreprise,vise,permettre,faire,compléter,1
santé,transparence,prix,information,rédiger,droit,soin,objectif,1
santé,titre,activité,mental,public,charge,financement,maladie,1
santé,tiers,payer,social,vise,public,insérer,rédiger,1
z,contribution,pourcent,multiplier,vise,permettre,prévoir,maladie,1
z,montant,contribution,pourcent,devoir,vise,permettre,insérer,1
supprimer,aller,augmenter,précarité,supprimer,suppression,famille,demander,1
supprimer,assainissement,engagement,contrat,social,santé,devoir,public,1
zone,impôt,développement,entreprise,devoir,vise,insérer,prévoir,1
santé,tabac,nicotinique,social,pouvoir,vise,permettre,insérer,1
santé,service,hôpital,public,sécurité,supprimer,charge,maladie,1
santé,sécuriser,téléconsultation,solution,prévoir,charge,compléter,maladie,1
santé,sécuriser,solution,téléconsultation,prévoir,charge,compléter,maladie,1
santé,système,information,fonds,pouvoir,devoir,vise,faire,1
santé,système,dépense,maladie,vise,supprimer,financement,dispositif,1
zone,médecin,franc,médical,pouvoir,public,insérer,rédiger,1
santé,syndicat,compléter,consultation,public,compléter,national,prestation,1
santé,social,zone,sécurité,public,compléter,patient,viser,1
santé,social,sécurité,état,vise,public,compléter,patient,1
santé,social,sécurité,état,public,compléter,patient,viser,1
transport,maritime,charge,français,social,sécurité,devoir,vise,1
santé,prix,médicament,produit,vise,permettre,insérer,charge,1
santé,prestataire,domicile,service,pouvoir,faire,maladie,professionnel,1
suivi,représentant,social,acteur,santé,vise,permettre,insérer,1
santé,financement,établissement,modèle,pouvoir,prévoir,charge,compléter,1
écart,inégalité,social,réduction,pouvoir,faire,rédiger,compléter,1
santé,hôpital,numéro,proximité,pouvoir,supprimer,prévoir,état,1
transparence,devoir,prévoir,licence,pouvoir,permettre,faire,public,1
supprimer,nécessaire,instant,déclarant,supprimer,nécessaire,modalité,choix,1
santé,hôpital,libéral,dernier,pouvoir,prévoir,financement,national,1
échange,second,substituer,réalisation,substituer,réaliser,second,rédactionnel,1
santé,grippe,établissement,contre,social,sécurité,insérer,rédiger,1
échéance,convention,suppression,médical,supprimer,nouveau,décret,fixer,1
supprimer,occurrence,rédactionnel,vise,vise,emploi,rédactionnel,supprimer,1
santé,fonds,professionnel,numérique,devoir,insérer,rédiger,charge,1
supprimer,parent,famille,objectif,social,sécurité,vise,disposition,1
supprimer,maternité,soin,femme,sécurité,faire,public,pourcent,1
supprimer,part,prime,feu,social,sécurité,devoir,vise,1
santé,financement,établissement,contrat,compléter,sanitaire,agir,territoire,1
éloignement,surcoût,insularité,garantie,devoir,vise,insérer,soin,1
santé,financement,national,transfert,social,sécurité,vise,public,1
santé,expérimentation,régional,état,pouvoir,vise,faire,public,1
équilibre,budgétaire,supprimer,projection,social,sécurité,santé,supprimer,1
santé,exercice,coordonner,investissement,pouvoir,supprimer,public,conséquence,1
supprimer,pouvoir,dispositif,rien,social,proposer,conséquence,professionnel,1
équité,efficience,autonomie,objectif,social,sécurité,devoir,droit,1
santé,examen,biologie,laboratoire,vise,permettre,faire,insérer,1
santé,impact,qualité,vie,social,sécurité,devoir,faire,1
supprimer,liberté,renforcement,injustifier,social,vise,dispositif,national,1
santé,permettre,assurance,maladie,social,sécurité,public,rédiger,1
supprimer,fauteuil,roulant,matériel,vise,mise,place,système,1
supprimer,démarche,pose,question,social,pouvoir,permettre,public,1
âge,social,santé,bénéficiaire,faire,prévoir,droit,général,1
santé,numérique,souveraineté,français,pouvoir,insérer,rédiger,fin,1
santé,numérique,fonds,insérer,rédiger,degré,nécessaire,projet,1
santé,nouveau,hôpital,public,supprimer,financement,dernier,concerner,1
âgé,nouveau,maltraitance,pouvoir,social,sécurité,public,dispositif,1
santé,médical,patient,présence,sécurité,pouvoir,devoir,vise,1
supprimer,faire,pompier,salarial,social,sécurité,devoir,vise,1
santé,mise,réserve,public,rédiger,compléter,année,soin,1
soin,charge,infirmier,prise,pouvoir,mettre,an,disposition,1
supprimer,groupe,socialiste,entendre,social,faire,état,créer,1
santé,infirmier,vaccination,public,sécurité,faire,financement,an,1
santé,mental,établissement,région,pouvoir,insérer,financement,pourcent,1
santé,mental,établissement,région,pouvoir,compléter,degré,pourcent,1
santé,mental,région,établissement,pouvoir,insérer,financement,pourcent,1
santé,mental,maladie,pilotage,social,sécurité,devoir,vise,1
santé,mental,activité,insérer,social,sécurité,pouvoir,permettre,1
santé,mds,investissement,hospitalier,devoir,faire,financement,dispositif,1
santé,logiciel,informatique,modernisation,rédiger,degré,droit,année,1
supprimer,introduire,sénat,droite,devoir,supprimer,proposer,assurer,1
santé,information,médicament,produit,pouvoir,rédiger,état,soin,1
âgé,social,syndrome,glissement,pouvoir,santé,permettre,faire,1
santé,versement,conseil,dette,social,permettre,insérer,prévoir,1
suivi,représentant,social,acteur,santé,vise,permettre,financement,1
substituer,limite,pouvoir,excéder,pouvoir,substituer,limite,excéder,1
social,artiste,condition,baisse,pouvoir,devoir,permettre,pourcent,1
social,coefficient,géographique,établissement,sécurité,pouvoir,vise,faire,1
social,coefficient,géographique,action,sécurité,pouvoir,vise,faire,1
social,chiffre,limiter,allègement,sécurité,charge,financement,dispositif,1
vin,boisson,aromatiser,concertation,pouvoir,santé,vise,public,1
social,charge,assurance,maladie,faire,insérer,financement,dispositif,1
social,cas,devoir,infraction,sécurité,pouvoir,vise,rédiger,1
vin,degré,méthode,ancestral,social,sécurité,devoir,insérer,1
vin,filière,prémi,supprimer,pouvoir,santé,devoir,faire,1
social,aérien,exonération,degré,sécurité,pouvoir,faire,insérer,1
social,avantage,degré,employeur,santé,rédiger,prévoir,droit,1
social,année,sécurité,équilibre,pouvoir,devoir,vise,perte,1
vin,base,taxation,prémi,vise,permettre,faire,public,1
vin,produit,aromatiser,an,devoir,permettre,faire,professionnel,1
social,année,exonération,entreprise,sécurité,permettre,faire,dispositif,1
substituer,procéder,procèdent,rédactionnel,substituer,procéder,rédactionnel,procèdent,1
social,aide,soin,établissement,devoir,insérer,rédiger,prévoir,1
social,aide,organisme,sécurité,faire,public,état,général,1
social,aidant,dédommagement,action,pouvoir,devoir,rédiger,pourcent,1
social,agricole,caisse,mutualité,sécurité,rédiger,compléter,droit,1
social,action,régime,minier,permettre,perte,montant,mois,1
sncf,caisse,camieg,cprp,santé,supprimer,maladie,soin,1
smic,social,taux,pourcent,devoir,permettre,rédiger,prévoir,1
social,compensation,sécurité,perte,devoir,faire,supprimer,état,1
vin,alcool,consommation,pourcent,pouvoir,vise,degré,national,1
smic,cotisation,chiffre,rémunération,social,sécurité,vise,supprimer,1
vie,établissement,besoin,transition,permettre,financement,compléter,degré,1
social,degré,entreprise,réduction,pouvoir,devoir,permettre,supprimer,1
victime,violence,charge,expérimentation,vise,permettre,faire,supprimer,1
social,degré,dispositif,déclaration,sécurité,pouvoir,devoir,supprimer,1
social,degré,date,dernier,sécurité,vise,permettre,faire,1
social,degré,date,dernier,sécurité,permettre,faire,insérer,1
substituer,médical,somatique,psychique,substituer,médical,psychique,somatique,1
social,cotisation,sécurité,titre,santé,nouveau,proposer,conséquence,1
substituer,occurrence,référence,précision,substituer,référence,rédactionnel,occurrence,1
vie,social,contribution,pourcent,pouvoir,public,état,perte,1
substituer,pouvoir,autoriser,mettre,pouvoir,mettre,substituer,œuvre,1
viii,degré,x,référence,social,sécurité,financement,substituer,1
substituer,prestataire,définir,degré,degré,organisme,conséquence,substituer,1
social,cotisation,protection,nouveau,pouvoir,permettre,faire,supprimer,1
social,cotisation,exonération,salarié,sécurité,pouvoir,permettre,faire,1
ville,dépense,risque,dépassement,social,sécurité,vise,supprimer,1
social,cotisation,conséquence,salaire,pouvoir,permettre,compléter,soin,1
social,contribution,sécurité,impôt,devoir,permettre,insérer,dispositif,1
social,contre,fraude,action,insérer,national,mettre,an,1
transport,substituer,conséquence,procéder,conséquence,substituer,procéder,substitution,1
transport,soin,sanitaire,bariatrique,social,sécurité,pouvoir,santé,1
social,complémentaire,santé,assuré,sécurité,public,insérer,droit,1
ville,dépense,évolution,risque,social,sécurité,vise,rédiger,1
vin,taxation,degré,base,vise,faire,public,rédiger,1
siéger,organisation,représentatif,profession,vise,compléter,concerner,second,1
santé,versement,répartition,régional,pouvoir,permettre,insérer,prévoir,1
substituer,territoire,zone,conséquence,conséquence,définir,rédactionnel,définie,1
substituer,section,chapitr,rédactionnel,substituer,rédactionnel,section,chapitr,1
substituer,tax,taxe,degré,degré,substituer,taxe,rédactionnel,1
voie,dématérialiser,conséquence,déclaration,social,supprimer,insérer,rédiger,1
santé,établissement,pourcent,garantie,vise,permettre,prévoir,condition,1
santé,établissement,pluriannuel,comité,social,sécurité,rédiger,compléter,1
santé,établissement,garantie,pluriannuel,vise,permettre,faire,prévoir,1
volontaire,sapeur,pompier,entreprise,vise,faire,public,insérer,1
santé,établissement,garantie,pluriannuel,pouvoir,vise,permettre,faire,1
volume,activité,supprimer,assurer,supprimer,financement,assurer,réaliser,1
santé,établissement,garantie,financement,pouvoir,devoir,vise,permettre,1
substituer,vise,ramener,mois,vise,nouveau,mettre,prendre,1
santé,établissement,ressource,psychiatrie,social,sécurité,public,charge,1
santé,établissement,financement,objectif,devoir,public,prévoir,charge,1
sucre,montant,pourcent,degré,social,vise,faire,public,1
volume,activité,supprimer,hôpital,santé,supprimer,public,financement,1
santé,établissement,financement,activité,devoir,permettre,public,prévoir,1
santé,établissement,armée,social,devoir,insérer,rédiger,charge,1
santé,équipe,soin,coordonner,permettre,rédiger,conséquence,professionnel,1
santé,zone,soin,territoire,vise,faire,public,insérer,1
transport,parlement,ambulance,remettre,social,sécurité,maladie,national,1
santé,ville,objectif,discussion,social,sécurité,pouvoir,permettre,1
suivi,représentant,comité,social,santé,permettre,supprimer,insérer,1
santé,établissement,ressource,psychiatrie,public,insérer,charge,financement,1
sapeur,pompier,professionnel,supprimer,social,sécurité,pouvoir,prévoir,1
site,coordonnée,assistant,maternel,devoir,faire,insérer,rédiger,1
vise,supprimer,suppression,exonérer,supprimer,impôt,france,suppression,1
site,coordonnée,assistant,maternel,devoir,faire,compléter,disposition,1
vin,taxation,degré,prémi,vise,faire,public,rédiger,1
vin,taxation,prémi,base,vise,faire,public,rédiger,1
service,urgence,ville,financement,pouvoir,supprimer,rédiger,compléter,1
substituer,précédent,vi,erreur,substituer,précédent,vi,matériel,1
substituer,prélèvement,examen,précision,substituer,examen,précision,prélèvement,1
substituer,prévue,prévoir,rédactionnel,prévoir,substituer,rédactionnel,prévue,1
service,civique,droit,jeune,sécurité,pouvoir,vise,faire,1
vin,taxe,produit,an,pouvoir,vise,rédiger,prévoir,1
vin,taxe,supprimer,venir,faire,pourcent,an,recette,1
substituer,règle,relatif,rédactionnel,substituer,relatif,règle,rédactionnel,1
scolaire,établissement,permettre,enfant,sécurité,insérer,compléter,condition,1
septembre,assurance,maladie,année,pouvoir,vise,dispositif,substituer,1
sens,supprimer,prévoit,expérimenter,supprimer,condition,médical,sanitaire,1
substituer,second,occurrence,dispenser,substituer,second,occurrence,dispenser,1
second,substituer,rédactionnel,viser,substituer,viser,second,rédactionnel,1
second,substituer,prestataire,entreprise,substituer,entreprise,second,association,1
second,substituer,pourcentage,taux,substituer,taux,second,précédent,1
second,substituer,appui,conforme,national,substituer,second,rédaction,1
second,rédiger,cas,remplacer,insérer,rédiger,activité,cas,1
second,occurrence,insérer,rédaction,insérer,second,rédaction,rédactionnel,1
second,occurrence,insérer,cours,insérer,titre,mois,exonération,1
social,supprimer,introduit,sénat,sécurité,supprimer,état,organisme,1
parent,famille,maladie,ij,supprimer,prévoir,national,mois,1
projet,aide,investissement,santé,pouvoir,permettre,public,rédiger,1
degré,référence,organe,urgence,santé,vise,proposer,dernier,1
degré,modifier,rédiger,b,social,sécurité,supprimer,état,1
degré,médecin,zone,conventionnement,vise,permettre,insérer,rédiger,1
degré,médecin,zone,santé,insérer,rédiger,état,général,1
degré,médicament,cadre,biologique,pouvoir,devoir,permettre,supprimer,1
degré,observatoir,remplacer,comité,rédiger,compléter,conséquence,dernier,1
degré,organe,urgence,référence,santé,dernier,substituer,france,1
degré,origin,pièce,détachée,pouvoir,devoir,compléter,cas,1
degré,origin,pièce,détachée,pouvoir,santé,faire,dispositif,1
degré,pourcent,vol,remplacer,rédiger,général,titre,disposition,1
degré,prix,médicament,amélioration,social,sécurité,devoir,vise,1
degré,produit,fonds,hauteur,rédiger,national,bis,branche,1
degré,produit,fonds,hauteur,rédiger,national,substituer,bis,1
degré,public,agent,établissement,insérer,prévoir,année,prendre,1
degré,remplacer,b,compléter,compléter,dernier,numéro,modifier,1
degré,rédiger,allocation,social,devoir,vise,droit,général,1
degré,maladie,libéral,assurance,vise,faire,financement,état,1
degré,insérer,conséquence,compléter,insérer,compléter,conséquence,mise,1
degré,insérer,bis,référence,supprimer,insérer,bis,référence,1
degré,distributeur,exploiter,fabricant,pouvoir,santé,charge,dispositif,1
degré,charge,référence,urgence,pouvoir,santé,vise,dispositif,1
degré,charge,urgence,forfait,pouvoir,santé,supprimer,rédiger,1
degré,charge,urgence,forfait,pouvoir,santé,vise,insérer,1
degré,commission,insérer,conséquence,santé,vise,rédiger,charge,1
degré,conséquence,soin,supprimer,vise,supprimer,rédiger,maladie,1
degré,cotisation,prévoir,travail,santé,vise,droit,état,1
degré,dossier,juge,liberté,permettre,insérer,proposer,prendre,1
degré,insérer,bis,ordonnance,social,sécurité,santé,supprimer,1
degré,dépassement,santé,honoraire,devoir,vise,permettre,faire,1
degré,entreprise,décembre,année,sécurité,pouvoir,devoir,vise,1
degré,exonération,organe,pouvoir,social,supprimer,rédiger,prévoir,1
degré,exonération,organe,référence,vise,faire,prévoir,soin,1
degré,groupement,conséquence,rédaction,santé,public,insérer,national,1
degré,indemnité,activité,social,financement,état,général,national,1
degré,rédiger,début,changement,pouvoir,public,rédiger,dispositif,1
degré,référence,santé,bilan,permettre,supprimer,rédiger,pourcent,1
degré,charge,place,forfait,santé,devoir,vise,supprimer,1
degré,référence,substituer,conséquence,vise,insérer,soin,conséquence,1
dette,supprimer,santé,reprise,sécurité,devoir,permettre,faire,1
dette,tiers,établissement,santé,supprimer,public,état,année,1
devoir,entreprise,btp,pourcent,faire,charge,droit,général,1
devoir,origin,pièce,réparation,pouvoir,faire,dispositif,compléter,1
devoir,sécurité,vigilance,substituer,pouvoir,faire,substituer,sanitaire,1
dialyse,domicile,expérimentation,état,pouvoir,permettre,prévoir,an,1
dialyse,qualité,acte,caqe,social,sécurité,santé,vise,1
die,clairette,degré,économique,social,sécurité,devoir,vise,1
dignité,attractivité,insérer,vise,vise,insérer,objectif,professionnel,1
dignité,bénéficiaire,aide,domicile,vise,insérer,conséquence,objectif,1
disponibilité,pouvoir,accueil,assistant,devoir,public,rédiger,an,1
dispositif,agricole,général,to,vise,faire,public,rédiger,1
dispositif,bénéficier,prise,charge,social,sécurité,santé,insérer,1
dispositif,consigne,assurer,supprimer,vise,charge,état,proposer,1
dispositif,délai,parlement,accès,santé,vise,financement,nouveau,1
dette,social,degré,affecter,sécurité,pouvoir,vise,permettre,1
destiner,financement,santé,investissement,social,vise,compléter,établissement,1
demande,pouvoir,présenter,oralement,vise,prévoir,compléter,condition,1
degré,semaine,reprise,activité,permettre,financement,national,nouveau,1
degré,référence,supprimer,conséquence,vise,supprimer,insérer,soin,1
degré,rétablir,rédaction,sécurité,social,sécurité,santé,insérer,1
degré,santé,mise,réserve,compléter,année,soin,national,1
degré,santé,public,substituer,social,sécurité,insérer,prévoir,1
degré,santé,substitution,agence,pouvoir,permettre,supprimer,rédiger,1
degré,second,b,remplacer,sécurité,supprimer,insérer,rédiger,1
degré,social,condamnation,pénal,devoir,insérer,rédiger,soin,1
degré,urgence,charge,ald,pouvoir,santé,vise,supprimer,1
degré,social,sécurité,janvier,pouvoir,devoir,droit,général,1
degré,substituer,santé,public,santé,public,substituer,rédaction,1
degré,supprimer,conséquence,référence,vise,supprimer,rédiger,soin,1
degré,sécurité,social,pension,pouvoir,devoir,vise,rédiger,1
degré,sécurité,social,qualité,devoir,faire,rédiger,financement,1
degré,taux,cotisation,effectif,pouvoir,devoir,vise,prévoir,1
degré,charge,référence,urgence,pouvoir,santé,dispositif,droit,1
degré,charge,participation,pouvoir,santé,supprimer,prévoir,dispositif,1
dispositif,fonds,victime,rattrapage,pouvoir,santé,permettre,supprimer,1
cotisation,degré,titre,social,rédiger,financement,national,conséquence,1
contrôle,sécurité,social,contre,vise,permettre,faire,rédiger,1
convention,report,actuel,supprimer,vise,permettre,prévoir,an,1
convention,suppression,échéance,médical,santé,supprimer,année,lier,1
coordination,acteur,participer,prise,social,insérer,degré,national,1
coordination,besoin,territoire,objectif,pouvoir,vise,insérer,proposer,1
coordination,santé,modalité,ambulatoire,devoir,vise,établissement,dernier,1
correction,insérer,déclarant,rédactionnel,insérer,rédactionnel,correction,déclarant,1
corse,degré,collectivité,déterminer,social,sécurité,santé,vise,1
cotisant,faire,assister,convier,rédiger,compléter,droit,général,1
cotisant,informer,possibilité,recours,compléter,droit,cadre,convier,1
cotisation,allègement,emploi,entreprise,social,sécurité,permettre,supprimer,1
cotisation,contribution,devoir,rédiger,sécurité,condition,titre,social,1
cotisation,contribution,décret,paiement,permettre,faire,supprimer,compléter,1
cotisation,contribution,social,devoir,sécurité,vise,prévoir,charge,1
cotisation,degré,social,exonération,santé,vise,public,insérer,1
contrôle,qualité,certification,référentiel,sécurité,pouvoir,santé,insérer,1
contribution,urp,santé,pourcent,social,sécurité,public,financement,1
contribution,section,iv,protoxyde,pouvoir,vise,insérer,rédiger,1
contribution,autonomie,créer,nouveau,insérer,prévoir,charge,degré,1
contrat,assuré,décret,arrêté,social,sécurité,vise,prévoir,1
contrat,pourcent,santé,tiers,devoir,vise,permettre,faire,1
contrat,pourcent,santé,tiers,social,sécurité,devoir,vise,1
contrat,pouvoir,installation,médecin,social,vise,prévoir,compléter,1
contrat,réseau,soin,santé,sécurité,pouvoir,vise,insérer,1
contribution,annonceur,publicité,produit,vise,permettre,insérer,rédiger,1
contribution,autonomie,créer,nouveau,prévoir,charge,compléter,général,1
contribution,impôt,succession,donation,pouvoir,insérer,national,proposer,1
contribution,autonomie,succession,donation,sécurité,permettre,faire,rédiger,1
contribution,cotisation,mutualiste,pourcent,insérer,prévoir,charge,national,1
contribution,dispositif,médical,entreprise,public,pourcent,mettre,titre,1
contribution,exceptionnel,social,impôt,pouvoir,devoir,faire,charge,1
contribution,impôt,succession,autonomie,pouvoir,droit,général,national,1
contribution,impôt,succession,autonomie,pouvoir,insérer,droit,général,1
cotisation,degré,social,travail,santé,vise,public,insérer,1
cotisation,employeur,salaire,smic,social,supprimer,droit,maladie,1
degré,charge,participation,cas,pouvoir,santé,devoir,vise,1
cotisation,employeur,salaire,smic,social,supprimer,rédiger,droit,1
date,mars,tard,décembre,national,nouveau,objectif,substituer,1
date,octobre,fin,substituer,vise,national,substituer,fin,1
date,octobre,substituer,mars,vise,national,substituer,convention,1
date,rédiger,fin,publication,rédiger,fin,publication,postérieur,1
date,septembre,report,fin,vise,proposer,an,substituer,1
date,substituer,septembre,juin,sécurité,devoir,dispositif,compléter,1
date,téléconsultation,assurance,maladie,vise,dispositif,pourcent,année,1
date,vigueur,enfant,naître,disposition,substituer,relatif,préciser,1
degré,an,fonds,médical,pouvoir,santé,prévoir,état,1
degré,année,second,mai,sécurité,devoir,insérer,dispositif,1
degré,b,numéro,relatif,insérer,droit,substituer,ensemble,1
degré,b,substituer,référence,substituer,relever,référence,rédactionnel,1
degré,bière,pourcent,vol,social,vise,rédiger,droit,1
degré,bière,pourcent,vol,social,vise,rédiger,prévoir,1
degré,bénéficiaire,dispositif,ald,pouvoir,vise,supprimer,rédiger,1
date,mars,décembre,ségur,social,pouvoir,faire,nouveau,1
date,janvier,transfert,recouvrement,social,vise,permettre,assurer,1
date,janvier,prévoit,entrée,pouvoir,supprimer,public,rédiger,1
crcm,financement,centre,mucoviscidose,santé,devoir,soin,organisme,1
cotisation,maladie,caisse,régime,sécurité,vise,permettre,public,1
cotisation,organisme,complémentaire,pouvoir,social,sécurité,devoir,permettre,1
cotisation,régime,b,ab,social,sécurité,pouvoir,permettre,1
cotisation,social,pourcent,hauteur,sécurité,insérer,financement,taux,1
cotisation,spécifique,créer,acquisition,sécurité,devoir,permettre,compléter,1
cotisation,substituer,concerner,recouvrement,social,sécurité,nouveau,médical,1
critère,financement,dotation,région,santé,devoir,vise,faire,1
date,décembre,ségur,santé,social,pouvoir,faire,nouveau,1
critère,financement,social,dotation,santé,devoir,vise,faire,1
critère,âge,revenu,complémentaire,devoir,vise,insérer,prévoir,1
crédit,devoir,aide,charge,social,sécurité,insérer,dispositif,1
date,crise,substituer,juin,sécurité,compléter,droit,général,1
date,degré,décembre,remplacer,santé,permettre,soin,nouveau,1
date,décembre,substituer,juin,pouvoir,vise,dispositif,mise,1
dispositif,fin,patient,bénéficier,sécurité,vise,permettre,prévoir,1
dispositif,médical,innovant,entreprise,supprimer,mettre,place,prévoit,1
contention,traitement,patient,inclure,permettre,insérer,charge,proposer,1
entretien,femme,prénatal,précoce,pouvoir,vise,public,prévoir,1
entreprise,recherche,financement,bis,social,sécurité,public,insérer,1
entreprise,répartition,pharmaceutique,médicament,santé,permettre,public,état,1
entreprise,salarié,employeur,compléter,social,sécurité,pouvoir,vise,1
entreprise,salarié,employeur,conséquence,social,sécurité,vise,supprimer,1
entreprise,salarié,fois,prime,social,sécurité,vise,supprimer,1
entreprise,salarié,prime,exceptionnel,social,sécurité,insérer,prévoir,1
entreprise,salarié,travail,supprimer,sécurité,pouvoir,devoir,permettre,1
entreprise,salarié,utilisateur,prime,prévoir,objectif,substituer,fixer,1
entreprise,social,charge,smic,pouvoir,devoir,permettre,faire,1
entreprise,social,compléter,taux,pouvoir,devoir,rédiger,prévoir,1
entreprise,social,salaire,charge,rédiger,prévoir,droit,état,1
entreprise,spécialité,stock,pouvoir,faire,insérer,prévoir,cas,1
entreprise,travail,embauch,social,pouvoir,vise,faire,rédiger,1
entreprise,économique,cause,procédure,pouvoir,vise,prévoir,compléter,1
entretien,accouchement,précoce,femme,pouvoir,devoir,faire,public,1
entreprise,recherche,bis,chiffre,public,insérer,rédiger,financement,1
entreprise,produit,expérimentation,information,social,santé,devoir,permettre,1
entreprise,pourcent,dépense,degré,social,sécurité,pouvoir,permettre,1
ensemble,enfant,nécessaire,pouvoir,insérer,rédiger,national,disposition,1
employeur,respect,obligation,faire,pouvoir,compléter,agir,part,1
enfant,allocation,aeeh,handicap,devoir,charge,degré,titre,1
enfant,charge,allocation,familial,pouvoir,insérer,compléter,droit,1
enfant,degré,paternité,accueil,vise,prévoir,mettre,mise,1
enfant,semaine,durée,insérer,vise,conséquence,condition,an,1
engendrer,crise,assurance,fin,supprimer,général,année,soin,1
ensemble,période,atteindre,âge,substituer,fin,rédactionnel,ensemble,1
entreprise,obligation,émission,degré,sécurité,devoir,vise,faire,1
entreprise,assurer,importation,parallèle,substituer,rédactionnel,spécialité,assurer,1
entreprise,contribution,exploiter,rembourser,devoir,vise,dispositif,compléter,1
entreprise,degré,social,exonération,sécurité,devoir,permettre,charge,1
entreprise,devoir,année,perte,sécurité,vise,permettre,faire,1
entreprise,importation,pharmaceutique,importer,sécurité,devoir,vise,rédiger,1
entreprise,mois,fourniture,expérimentation,dispositif,compléter,mise,place,1
entretien,contrôler,proposer,sécurité,rédiger,prévoir,compléter,fin,1
entretien,mère,santé,précoce,pouvoir,devoir,permettre,faire,1
employeur,cotisation,complémentaire,salarié,social,sécurité,faire,rédiger,1
entretien,prénatal,précoce,epp,pouvoir,permettre,dispositif,pourcent,1
exonération,dispositif,social,compensation,sécurité,vise,permettre,prévoir,1
exonération,smic,social,taux,pouvoir,devoir,faire,prévoir,1
exonération,supprimer,application,dispositif,social,sécurité,pouvoir,supprimer,1
exonération,travailleur,emploi,sécurité,devoir,vise,permettre,faire,1
expérimentation,attendre,santé,national,pouvoir,vise,supprimer,prévoir,1
expérimentation,charge,santé,sexuel,vise,faire,supprimer,public,1
expérimentation,femme,instrumental,condition,sécurité,vise,supprimer,financement,1
