"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)",0
rémunération,degré,e,social,sécurité,rédiger,1
urgence,consultation,relever,santé,prévoir,compléter,1
résident,soigner,ratio,santé,état,année,1
résident,soigner,ratio,santé,compléter,état,1
résident,ratio,soigner,santé,compléter,état,1
résidence,cas,obligation,sécurité,rédiger,compléter,1
réserve,régime,matière,social,devoir,faire,1
réserve,rédiger,fin,rédiger,état,cas,1
réserve,caisse,assurance,social,devoir,supprimer,1
social,évaluation,organisme,devoir,rédiger,prévoir,1
rédiger,remettre,parlement,rédiger,remettre,parlement,1
urgence,participation,degré,pouvoir,santé,devoir,1
urgence,patient,charge,social,sécurité,pouvoir,1
substituer,employeur,organisme,organisme,substituer,obligation,1
urgence,patient,mise,social,sécurité,vise,1
réparation,intégral,victime,vise,permettre,compléter,1
urgence,service,public,pouvoir,santé,vise,1
urgence,soin,charge,santé,supprimer,maladie,1
substituer,dédier,consacré,conséquence,substituer,procéder,1
substituer,décision,justice,titre,substituer,décision,1
usage,cannabis,médical,santé,maladie,état,1
social,état,porter,vise,faire,supprimer,1
substituer,exigé,disposition,disposition,substituer,application,1
téléconsultation,acte,professionnel,devoir,vise,compléter,1
saad,attribution,enveloppe,vise,faire,prévoir,1
téléconsultation,acte,professionnel,vise,charge,compléter,1
téléconsultation,développement,parcours,social,sécurité,vise,1
salaire,amélioration,aide,devoir,rédiger,financement,1
saisonnier,dispositif,travailleur,rédiger,financement,degré,1
téléconsultation,parcours,soin,social,sécurité,santé,1
social,sécurité,état,santé,faire,supprimer,1
substituer,hôpital,proximité,substituer,hôpital,proximité,1
substituer,figurer,prévoir,prévoir,substituer,figurer,1
téléconsultation,soin,parcours,permettre,faire,compléter,1
téléconsultation,soin,parcours,permettre,faire,public,1
téléconsultation,téléphone,insérer,insérer,accès,convier,1
télémédecine,médical,téléconsultation,vise,permettre,insérer,1
urgence,activité,financement,pouvoir,devoir,prévoir,1
sage,femme,insérer,insérer,proposer,assurer,1
urgence,activité,financement,pouvoir,devoir,rédiger,1
sage,femme,devoir,charge,disposition,cas,1
social,travail,compétitivité,devoir,permettre,supprimer,1
substituer,faire,examen,conséquence,fin,compter,1
saad,expérimentation,service,pouvoir,devoir,supprimer,1
rédiger,second,absence,pouvoir,rédiger,organisme,1
rédiger,contribution,recouvrer,rédiger,contribution,revenu,1
rédiger,organisme,sécurité,social,sécurité,rédiger,1
établissement,domicile,qualité,social,santé,permettre,1
recherche,développement,santé,social,sécurité,pouvoir,1
sportif,médical,autoévaluation,vise,nouveau,proposer,1
recette,section,affectation,permettre,faire,supprimer,1
établissement,nombre,cadre,santé,vise,charge,1
établissement,prestation,tarif,vise,rédiger,charge,1
questionnaire,mineur,attestation,conséquence,santé,rédactionnel,1
qualité,équité,insérer,social,vise,permettre,1
établissement,relatif,service,rédiger,prévoir,maladie,1
qualité,soignant,faire,pouvoir,devoir,supprimer,1
établissement,santé,augmenter,permettre,faire,rédiger,1
qualité,soignant,faire,pouvoir,devoir,conséquence,1
qualité,pertinence,efficience,vise,insérer,établissement,1
sportif,médical,fédération,faire,supprimer,état,1
substituer,conformément,application,substituer,application,rédactionnel,1
qualité,acte,mettre,social,sécurité,pouvoir,1
période,insérer,minimal,insérer,activité,période,1
période,contradictoire,délai,devoir,supprimer,rédiger,1
pénurie,médicament,malade,pouvoir,devoir,public,1
pénalité,insérer,encontre,insérer,employeur,encontre,1
sportif,médical,autoévaluation,permettre,insérer,rédiger,1
sportif,fédération,médical,supprimer,insérer,prévoir,1
établissement,maison,naissance,faire,public,dispositif,1
représentant,prise,charge,devoir,faire,public,1
établissement,dépense,assurance,public,rédiger,charge,1
établissement,exposé,motif,vise,supprimer,charge,1
ressource,pension,réversion,faire,rédiger,compléter,1
établissement,femme,zone,social,sécurité,pouvoir,1
ressource,forfaitaire,proportionnel,insérer,prévoir,disposition,1
ressource,degré,destiner,social,devoir,permettre,1
établissement,financement,coefficient,devoir,public,charge,1
respectivement,droit,voir,substituer,rédactionnel,droit,1
établissement,france,navire,permettre,supprimer,insérer,1
établissement,maison,naissance,devoir,faire,public,1
reprise,hôpital,dette,pouvoir,proposer,an,1
reprise,dette,investissement,vise,compléter,national,1
remise,minorer,dispositif,devoir,vise,supprimer,1
établissement,fédération,public,social,sécurité,vise,1
relève,rédiger,fin,devoir,rédiger,montant,1
recherche,psychiatrie,laboratoire,sécurité,santé,permettre,1
substituer,conformément,disposition,disposition,substituer,application,1
sportif,fédération,médical,social,vise,supprimer,1
pénalité,entreprise,établissement,sécurité,pouvoir,vise,1
pénalité,entreprise,établissement,social,pouvoir,vise,1
sportif,médical,fédération,social,vise,supprimer,1
public,fonction,agent,santé,devoir,insérer,1
substituer,appui,conforme,national,substituer,rédaction,1
public,insérer,santé,santé,public,insérer,1
substituer,antérieurement,rédactionnel,substituer,rédactionnel,antérieurement,1
substituer,aide,département,rédiger,année,an,1
public,inscrire,produit,social,permettre,supprimer,1
étranger,social,accès,sécurité,vise,permettre,1
étude,cause,famille,permettre,financement,compléter,1
substituer,accompagner,mineur,dispositif,conséquence,viser,1
substituer,abroger,financement,social,sécurité,santé,1
état,thérapeutique,disponible,compléter,conséquence,substituer,1
public,cotisation,agent,social,pouvoir,supprimer,1
psychothérapie,dépression,remboursement,social,sécurité,santé,1
psychologue,remboursement,psychothérapie,vise,public,rédiger,1
psychologue,psychologique,soin,permettre,public,financement,1
stock,récolter,stratégique,vise,insérer,état,1
psychologue,montant,revalorisation,pouvoir,devoir,permettre,1
psychiatrique,enfant,disparité,social,sécurité,faire,1
psychiatrique,commission,départemental,supprimer,dernier,prendre,1
ssiad,infirmier,acte,pouvoir,insérer,rédiger,1
ssiad,infirmier,acte,insérer,rédiger,conséquence,1
pénalité,dispositif,médical,social,vise,permettre,1
substituer,barème,progressif,conséquence,fixer,fixé,1
spécialité,amm,entreprise,vise,faire,compléter,1
père,mère,naissance,pouvoir,vise,permettre,1
père,lier,coparentalité,social,dispositif,compléter,1
établissement,santé,parlement,pouvoir,permettre,prévoir,1
spécialité,clause,médicament,social,sécurité,permettre,1
établissement,santé,prise,social,sécurité,devoir,1
public,social,ehpad,rédiger,compléter,degré,1
établissement,service,fédération,vise,public,charge,1
établissement,social,santé,pouvoir,vise,public,1
ssiad,indu,acte,vise,insérer,rédiger,1
public,recouvrement,cotisation,social,pouvoir,devoir,1
spécificité,territoire,femme,pouvoir,devoir,vise,1
établissement,soin,santé,pouvoir,permettre,public,1
spécificité,territoire,rédiger,vise,rédiger,dispositif,1
substituer,b,degré,degré,substituer,service,1
établissement,zone,public,pouvoir,devoir,faire,1
public,personnel,revalorisation,vise,prévoir,charge,1
substituer,attribuer,verser,substituer,verser,attribuer,1
sportif,consultation,enfant,pouvoir,santé,charge,1
établissement,dette,hospitalier,social,sécurité,financement,1
rédiger,fin,second,rédiger,fin,demande,1
établissement,coefficient,transition,devoir,permettre,public,1
zone,médical,franc,sécurité,vise,état,1
réaliser,substituer,sein,substituer,sein,réaliser,1
règlement,européen,boisson,santé,nouveau,an,1
âge,bénéficiaire,fonction,devoir,supprimer,prévoir,1
âge,social,santé,faire,prévoir,droit,1
rupture,risque,médicament,sécurité,pouvoir,vise,1
âgé,nouveau,maltraitance,social,sécurité,public,1
âgé,social,syndrome,pouvoir,santé,permettre,1
rupture,insérer,stock,insérer,rupture,stock,1
rien,plan,suppression,social,vise,supprimer,1
rfr,seuil,année,sécurité,devoir,permettre,1
écart,inégalité,social,pouvoir,faire,rédiger,1
soin,régulation,offre,pouvoir,vise,faire,1
substituer,créer,application,substituer,application,créer,1
revenu,social,taux,devoir,vise,supprimer,1
revenu,social,capital,permettre,financement,degré,1
échange,second,substituer,substituer,réaliser,second,1
échéance,convention,suppression,supprimer,nouveau,décret,1
revenu,santé,substituer,social,montant,fin,1
zone,médecin,franc,pouvoir,public,insérer,1
rédaction,montant,million,social,sécurité,financement,1
soin,psychiatrique,commission,santé,insérer,droit,1
rédiger,entrent,vigueur,devoir,rédiger,compter,1
volume,activité,supprimer,santé,supprimer,public,1
volume,activité,supprimer,supprimer,financement,assurer,1
soin,offre,médicosocial,social,pouvoir,devoir,1
rédiger,fin,degré,degré,décret,fin,1
z,contribution,pourcent,vise,permettre,prévoir,1
rédiger,fin,cotisation,rédiger,cotisation,fin,1
z,montant,contribution,devoir,vise,permettre,1
rédiger,fin,allocation,rédiger,fin,allocation,1
soin,offre,santé,social,pouvoir,devoir,1
rédiger,arrêté,substituer,insérer,dernier,substituer,1
rédiger,début,titre,rédiger,titre,début,1
soin,palliatif,développement,santé,faire,public,1
rédiger,début,rural,rédiger,compter,applicable,1
rédiger,début,naissance,rédiger,prendre,salarié,1
rédiger,début,disposition,rédiger,disposition,contribution,1
zone,impôt,développement,devoir,vise,insérer,1
rédiger,dispositif,raison,social,santé,faire,1
santé,consultation,sexuel,sécurité,pouvoir,permettre,1
revenu,part,degré,sécurité,vise,permettre,1
substituer,conséquence,second,prévoir,état,dernier,1
revenu,part,degré,devoir,vise,permettre,1
substituer,conséquence,aide,rédiger,année,an,1
établissement,agent,public,faire,compléter,disposition,1
établissement,agent,public,faire,insérer,disposition,1
retraite,âge,bénéficiaire,social,sécurité,vise,1
retraite,ultramarin,niveau,social,pouvoir,vise,1
établissement,but,sécurité,social,sécurité,santé,1
retraite,supprimer,situer,pouvoir,devoir,vise,1
retraite,situer,seuil,supprimer,prévoir,prestation,1
retraite,médecin,bénéficier,sécurité,pouvoir,santé,1
retraite,débat,public,financement,proposer,disposition,1
retraité,csg,pourcent,devoir,vise,degré,1
retraite,durée,supprimer,supprimer,prévoir,droit,1
retraite,certificat,existence,faire,public,prévoir,1
retraite,aah,disposition,pouvoir,devoir,vise,1
établissement,charge,patient,pouvoir,cadre,service,1
établissement,coefficient,géographique,social,sécurité,compléter,1
restriction,pourcent,entreprise,social,devoir,permettre,1
établissement,coefficient,géographique,social,sécurité,devoir,1
établissement,coefficient,géographique,social,sécurité,insérer,1
substituer,conséquence,durée,prévoir,état,dernier,1
établissement,agent,décret,santé,prévoir,compléter,1
revenu,part,degré,devoir,vise,faire,1
revalorisation,supprimer,taux,vise,mettre,place,1
substituer,conséquence,médicament,prendre,concerner,prise,1
soin,santé,établissement,pouvoir,devoir,permettre,1
revenir,plfs,expérimentation,social,sécurité,supprimer,1
soin,travail,degré,pouvoir,santé,devoir,1
éloignement,surcoût,insularité,devoir,vise,insérer,1
revalorisation,établissement,coût,prévoir,financement,degré,1
équilibre,budgétaire,supprimer,social,sécurité,santé,1
revalorisation,supprimer,taux,vise,mise,place,1
soin,établissement,santé,pouvoir,permettre,public,1
établir,département,second,substituer,second,rédactionnel,1
équité,efficience,autonomie,social,sécurité,devoir,1
revalorisation,retraite,agricole,social,sécurité,vise,1
revalorisation,personnel,public,pouvoir,vise,insérer,1
équité,efficience,cnsa,santé,devoir,état,1
somatique,compléter,absence,pouvoir,compléter,absence,1
revalorisation,pension,supprimer,social,vise,supprimer,1
équité,territorial,insérer,pouvoir,vise,insérer,1
établir,année,insérer,santé,devoir,vise,1
santé,consultation,sexuel,pouvoir,prévoir,financement,1
substituer,occurrence,assurer,assurer,substituer,occurrence,1
travail,dissimulé,supprimer,sécurité,proposer,disposition,1
social,système,français,rédiger,droit,état,1
supprimer,cas,rédactionnel,supprimer,cas,rédactionnel,1
social,supprimer,introduit,sécurité,supprimer,état,1
social,aérien,exonération,sécurité,pouvoir,faire,1
social,avantage,degré,santé,rédiger,prévoir,1
social,artiste,condition,pouvoir,devoir,permettre,1
social,supprimer,nombre,sécurité,vise,cotisation,1
social,année,exonération,sécurité,permettre,faire,1
supprimer,voie,dématérialiser,social,conséquence,cotisation,1
social,aide,soin,devoir,insérer,rédiger,1
social,aide,organisme,faire,public,état,1
social,aidant,dédommagement,pouvoir,devoir,rédiger,1
social,agricole,caisse,sécurité,rédiger,compléter,1
supprimer,voie,dématérialiser,vise,supprimer,conséquence,1
social,action,régime,permettre,perte,montant,1
social,supprimer,sécurité,pouvoir,charge,perte,1
sncf,caisse,camieg,santé,supprimer,maladie,1
smic,social,taux,devoir,permettre,rédiger,1
surcoût,santé,coefficient,social,sécurité,pouvoir,1
supprimer,assistant,maternel,devoir,vise,nouveau,1
social,supprimer,avancement,sécurité,supprimer,état,1
social,cas,devoir,sécurité,pouvoir,vise,1
social,charge,assurance,faire,insérer,financement,1
social,contribution,sécurité,devoir,permettre,insérer,1
social,cotisation,sécurité,santé,nouveau,proposer,1
social,quater,général,sécurité,pouvoir,devoir,1
social,relatif,degré,pouvoir,rédiger,prévoir,1
supprimer,suppression,vise,vise,supprimer,impôt,1
social,cotisation,protection,pouvoir,permettre,faire,1
supprimer,consigne,pouvoir,vise,disposition,cas,1
supprimer,conserver,allocation,supprimer,prestation,allocation,1
social,cotisation,conséquence,pouvoir,permettre,compléter,1
social,contre,fraude,insérer,national,mettre,1
social,service,sécurité,pouvoir,faire,rédiger,1
social,complémentaire,santé,sécurité,public,insérer,1
supprimer,usage,prise,faire,état,conséquence,1
social,régime,général,sécurité,rédiger,nouveau,1
social,régime,presse,pouvoir,devoir,supprimer,1
social,répertoire,modalité,pouvoir,vise,permettre,1
social,compensation,sécurité,devoir,faire,supprimer,1
social,santé,soin,devoir,vise,public,1
social,chiffre,limiter,sécurité,charge,financement,1
social,supprimer,vise,sécurité,santé,devoir,1
smic,cotisation,chiffre,social,sécurité,vise,1
santé,établissement,pourcent,vise,permettre,prévoir,1
système,retraite,français,pouvoir,santé,devoir,1
social,sécurité,année,devoir,faire,degré,1
sécurité,social,degré,vise,charge,dispositif,1
social,sécurité,année,devoir,faire,rédiger,1
sécurité,social,dispositif,devoir,permettre,faire,1
social,sécurité,budget,public,degré,perte,1
second,substituer,appui,national,substituer,second,1
sécurité,social,dispositif,devoir,rédiger,financement,1
second,rédiger,cas,insérer,rédiger,activité,1
second,occurrence,insérer,insérer,titre,mois,1
sécurité,social,domicile,faire,supprimer,dispositif,1
sécurité,social,emploi,devoir,rédiger,financement,1
second,occurrence,insérer,insérer,second,rédaction,1
scolaire,établissement,permettre,sécurité,insérer,compléter,1
sapeur,pompier,professionnel,social,sécurité,pouvoir,1
social,sécurité,chiffre,permettre,charge,dispositif,1
santé,établissement,ressource,social,sécurité,public,1
santé,établissement,ressource,public,insérer,charge,1
supprimer,aller,augmenter,supprimer,suppression,famille,1
sécurité,social,gilet,devoir,faire,supprimer,1
second,substituer,pourcentage,substituer,taux,second,1
second,substituer,prestataire,substituer,entreprise,second,1
sécurité,social,cotisation,devoir,vise,rédiger,1
social,sécurité,an,pouvoir,devoir,supprimer,1
siéger,organisation,représentatif,vise,compléter,concerner,1
site,coordonnée,assistant,devoir,faire,insérer,1
sécheresse,social,subir,pouvoir,vise,permettre,1
sécuriter,insérer,social,social,insérer,sécuriter,1
site,coordonnée,assistant,devoir,faire,compléter,1
sécurité,insérer,social,social,sécurité,insérer,1
sécurité,social,abroger,pouvoir,santé,dispositif,1
supprimer,assainissement,engagement,social,santé,devoir,1
sécurité,social,application,permettre,financement,dispositif,1
second,substituer,rédactionnel,substituer,viser,second,1
service,urgence,ville,pouvoir,supprimer,rédiger,1
sécurité,social,branche,pouvoir,vise,permettre,1
sécurité,social,cas,supprimer,part,social,1
sécurité,social,compléter,social,sécurité,devoir,1
service,civique,droit,sécurité,pouvoir,vise,1
septembre,assurance,maladie,pouvoir,vise,dispositif,1
sens,supprimer,prévoit,supprimer,condition,médical,1
second,supprimer,rédactionnel,supprimer,second,rédactionnel,1
supprimer,conséquence,dispositif,sécurité,vise,compléter,1
supprimer,social,nécessaire,vise,année,organisme,1
social,degré,date,sécurité,permettre,faire,1
social,degré,date,sécurité,vise,permettre,1
social,ier,général,sécurité,vise,droit,1
supprimer,liberté,renforcement,social,vise,dispositif,1
social,général,impôt,sécurité,devoir,supprimer,1
supprimer,maternité,soin,sécurité,faire,public,1
social,fraude,élément,vise,rédiger,compléter,1
social,fraude,sécurité,sécurité,devoir,rédiger,1
supprimer,minimal,rédactionnel,supprimer,rédactionnel,minimal,1
social,fraude,recouvrement,sécurité,faire,perte,1
social,fraude,prestation,sécurité,insérer,rédiger,1
social,fraude,prestation,sécurité,financement,année,1
social,presse,régime,devoir,vise,supprimer,1
social,presse,régime,faire,supprimer,prévoir,1
social,fraude,obtenir,sécurité,devoir,organisme,1
social,fraude,chapitre,sécurité,devoir,rédiger,1
social,prestation,début,sécurité,vise,supprimer,1
supprimer,nécessaire,instant,supprimer,nécessaire,modalité,1
social,fonds,charger,sécurité,vise,insérer,1
social,prestation,fraude,santé,faire,public,1
supprimer,occurrence,rédactionnel,vise,emploi,rédactionnel,1
social,pouvoir,santé,rédiger,proposer,établissement,1
social,impact,budget,prévoir,disposition,concerner,1
social,impôt,général,sécurité,devoir,permettre,1
social,ordonnance,prendre,vise,rédiger,prévoir,1
social,parlement,boisson,permettre,prévoir,droit,1
social,pourcent,suppression,devoir,vise,supprimer,1
supprimer,faire,pompier,social,sécurité,devoir,1
social,organisme,renseignement,pouvoir,public,insérer,1
supprimer,fauteuil,roulant,vise,mise,place,1
social,organisme,numéro,sécurité,pouvoir,vise,1
social,organisme,fraude,pouvoir,vise,public,1
supprimer,groupe,socialiste,social,faire,état,1
social,ordonnance,modification,rédiger,compléter,national,1
social,indépendant,sécurité,devoir,insérer,prévoir,1
social,numéro,prestation,sécurité,financement,national,1
social,nombre,limiter,sécurité,charge,financement,1
social,mois,sécurité,pouvoir,devoir,financement,1
social,matériel,sécurité,pouvoir,santé,vise,1
supprimer,introduire,sénat,devoir,supprimer,proposer,1
social,judiciaire,organisme,sécurité,pouvoir,permettre,1
supprimer,démarche,pose,social,pouvoir,permettre,1
social,insérer,degré,insérer,degré,prendre,1
social,exonération,sécurité,pouvoir,faire,public,1
supprimer,parent,famille,social,sécurité,vise,1
social,exonération,sécurité,permettre,supprimer,charge,1
social,devoir,année,faire,rédiger,charge,1
supprimer,prévoir,traite,charge,droit,nouveau,1
social,dispositif,activité,devoir,vise,permettre,1
social,devoir,mois,sécurité,vise,faire,1
supprimer,respectivement,rédactionnel,supprimer,rédactionnel,respectivement,1
supprimer,revenir,voter,social,devoir,disposition,1
social,devoir,entreprise,rédiger,charge,compléter,1
supprimer,revenu,rémunération,social,vise,général,1
supprimer,référence,b,supprimer,référence,coordination,1
social,public,sécurité,devoir,faire,insérer,1
social,domicile,résidence,sécurité,titre,disposition,1
social,dette,sécurité,conséquence,recette,activité,1
social,public,établissement,pouvoir,devoir,vise,1
social,degré,renforcer,sécurité,devoir,permettre,1
social,degré,recouvrement,devoir,insérer,général,1
supprimer,second,devoir,santé,public,proposer,1
social,degré,entreprise,pouvoir,devoir,permettre,1
supprimer,conséquence,projet,sécurité,financement,dispositif,1
social,degré,dispositif,sécurité,pouvoir,devoir,1
social,disposition,sécurité,rédiger,compléter,droit,1
social,donnée,répertoire,pouvoir,prévoir,compléter,1
social,prestation,permettre,sécurité,insérer,degré,1
social,emploi,exonération,permettre,charge,perte,1
social,exonération,smic,pouvoir,devoir,vise,1
supprimer,part,prime,social,sécurité,devoir,1
social,exonération,smic,pouvoir,devoir,permettre,1
social,prestation,permettre,sécurité,insérer,national,1
social,protection,organisme,sécurité,financement,maladie,1
social,préconisation,autonomie,sécurité,pouvoir,faire,1
social,entreprise,chiffre,devoir,vise,permettre,1
social,entreprise,b,faire,public,rédiger,1
social,ehpad,cotisation,devoir,vise,rédiger,1
social,donnée,sécurité,vise,prévoir,droit,1
social,dédommagement,prélèvement,sécurité,devoir,supprimer,1
supprimer,pouvoir,dispositif,social,proposer,conséquence,1
supprimer,convention,médical,permettre,maladie,nouveau,1
supprimer,convention,actuel,devoir,permettre,nouveau,1
social,dédommagement,aidant,sécurité,devoir,supprimer,1
supprimer,prévoir,pension,pouvoir,prévoir,taux,1
social,droit,sécurité,santé,permettre,supprimer,1
social,droit,fraude,sécurité,vise,permettre,1
sécurité,social,impact,faire,prévoir,financement,1
sécurité,social,impôt,vise,permettre,rédiger,1
travail,dissimulé,contresigner,social,sécurité,prévoir,1
titre,mois,exonération,supprimer,insérer,conséquence,1
santé,mental,région,pouvoir,insérer,financement,1
santé,mental,maladie,social,sécurité,devoir,1
substituer,procéder,procèdent,substituer,procéder,rédactionnel,1
santé,mental,activité,social,sécurité,pouvoir,1
santé,mds,investissement,devoir,faire,financement,1
santé,logiciel,informatique,rédiger,degré,droit,1
substituer,prestataire,définir,degré,organisme,conséquence,1
tiers,payer,bénéfice,vise,rédiger,pourcent,1
tiers,payer,contrat,social,sécurité,devoir,1
santé,information,médicament,pouvoir,rédiger,état,1
tiers,payer,contrat,social,sécurité,pouvoir,1
tiers,payer,permettre,pouvoir,santé,charge,1
substituer,pouvoir,autoriser,pouvoir,mettre,substituer,1
santé,infirmier,vaccination,sécurité,faire,financement,1
tiers,sécurité,social,pouvoir,insérer,rédiger,1
social,sécurité,impact,faire,prévoir,financement,1
substituer,occurrence,référence,substituer,référence,rédactionnel,1
titre,applique,cotisation,vise,insérer,prévoir,1
titre,employeur,cas,sécurité,pouvoir,vise,1
substituer,précédent,rédactionnel,substituer,précédent,rédactionnel,1
substituer,précédent,vi,substituer,précédent,vi,1
substituer,prélèvement,examen,substituer,examen,précision,1
social,sécurité,exonération,insérer,rédiger,prévoir,1
ter,taxe,pourcent,social,vise,permettre,1
substituer,section,chapitr,substituer,rédactionnel,section,1
santé,numérique,souveraineté,pouvoir,insérer,rédiger,1
santé,numérique,fonds,rédiger,degré,nécessaire,1
santé,nouveau,hôpital,supprimer,financement,dernier,1
substituer,référence,rédactionnel,substituer,référence,rédactionnel,1
substituer,règle,relatif,substituer,relatif,règle,1
social,sécurité,ehpad,devoir,rédiger,charge,1
territoire,insulaire,degré,social,sécurité,vise,1
social,sécurité,gestion,vise,insérer,charge,1
santé,médical,patient,sécurité,pouvoir,devoir,1
territoire,matière,offre,social,sécurité,santé,1
santé,mise,réserve,rédiger,compléter,année,1
territoire,mesurer,ville,pouvoir,devoir,vise,1
territoire,national,offre,devoir,charge,objectif,1
substituer,prévue,prévoir,prévoir,substituer,rédactionnel,1
santé,mental,établissement,pouvoir,insérer,financement,1
santé,mental,établissement,pouvoir,compléter,degré,1
titre,maladie,professionnel,social,sécurité,vise,1
social,sécurité,information,vise,insérer,rédiger,1
social,sécurité,compensation,vise,faire,supprimer,1
social,sécurité,mayotte,national,proposer,mise,1
santé,financement,national,social,sécurité,vise,1
santé,expérimentation,régional,pouvoir,vise,faire,1
social,pension,inférieur,sécurité,pouvoir,vise,1
santé,exercice,coordonner,pouvoir,supprimer,public,1
transport,soin,sanitaire,social,sécurité,pouvoir,1
transport,substituer,conséquence,conséquence,substituer,procéder,1
transport,sécurité,social,devoir,vise,public,1
santé,examen,biologie,vise,permettre,faire,1
substituer,médical,somatique,substituer,médical,psychique,1
travail,aide,domicile,devoir,permettre,compléter,1
santé,encadrement,cadre,social,sécurité,devoir,1
travail,at,arrêt,charge,compléter,droit,1
santé,domicile,prestataire,pouvoir,faire,public,1
santé,domicile,patient,permettre,perte,activité,1
santé,dispositif,cadre,vise,permettre,public,1
travail,cas,salarié,vise,permettre,insérer,1
santé,degré,transparence,vise,permettre,prévoir,1
travail,cotisation,salarié,insérer,financement,droit,1
santé,date,libéral,social,sécurité,pouvoir,1
transport,parlement,ambulance,social,sécurité,maladie,1
santé,financement,établissement,compléter,sanitaire,agir,1
substituer,occurrence,degré,degré,substituer,occurrence,1
transmanche,crise,activité,pouvoir,vise,prévoir,1
traitement,médicament,patient,sécurité,santé,devoir,1
social,sécurité,nombre,permettre,charge,dispositif,1
santé,impact,qualité,social,sécurité,devoir,1
substituer,occurrence,dernier,dernier,substituer,occurrence,1
santé,hôpital,numéro,pouvoir,supprimer,prévoir,1
transfert,maternité,maison,santé,vise,faire,1
transfert,recouvrement,caisse,social,vise,assurer,1
santé,hôpital,libéral,pouvoir,prévoir,financement,1
santé,grippe,établissement,social,sécurité,insérer,1
transport,maritime,charge,social,sécurité,devoir,1
transmanche,maritime,activité,pouvoir,prévoir,droit,1
transmission,traçabilité,médecin,sécurité,vise,insérer,1
social,sécurité,organisme,vise,permettre,supprimer,1
santé,fonds,professionnel,devoir,insérer,rédiger,1
social,sécurité,organisme,vise,état,national,1
santé,financement,établissement,pouvoir,prévoir,charge,1
transparence,devoir,prévoir,pouvoir,permettre,faire,1
transport,guadeloupe,convention,vise,rédiger,prévoir,1
temps,travail,salarié,faire,rédiger,prévoir,1
technologie,aide,assistance,permettre,maladie,soin,1
taxe,recouvrement,anse,social,pouvoir,public,1
social,sécurité,droit,permettre,faire,insérer,1
sénat,groupe,adopter,santé,vise,charge,1
santé,transparence,prix,rédiger,droit,soin,1
santé,titre,activité,public,charge,financement,1
santé,tiers,payer,vise,public,insérer,1
tabac,pourcent,unité,pouvoir,vise,rédiger,1
supprimer,accord,prime,vise,permettre,faire,1
tarif,organisme,complémentaire,social,santé,vise,1
social,sécurité,conséquence,devoir,insérer,année,1
taux,contribution,fixer,pouvoir,santé,rédiger,1
social,sécurité,convention,devoir,faire,droit,1
taux,degré,cotisation,pouvoir,devoir,vise,1
taux,financement,autonomie,permettre,proposer,recette,1
taux,fonds,pourcent,social,devoir,rédiger,1
santé,tabac,nicotinique,pouvoir,vise,permettre,1
santé,sécuriser,téléconsultation,prévoir,charge,compléter,1
santé,sécuriser,solution,prévoir,charge,compléter,1
santé,système,information,pouvoir,devoir,vise,1
santé,système,dépense,vise,supprimer,financement,1
santé,syndicat,compléter,public,compléter,national,1
santé,vaccinal,vaccination,compléter,pourcent,mise,1
séjour,concerner,hôtel,insérer,dispositif,soin,1
santé,versement,conseil,social,permettre,insérer,1
santé,établissement,financement,devoir,public,prévoir,1
sécurité,social,lier,devoir,vise,public,1
santé,établissement,pluriannuel,social,sécurité,rédiger,1
sécurité,social,sage,vise,insérer,titre,1
santé,établissement,garantie,pouvoir,vise,permettre,1
santé,établissement,garantie,pouvoir,devoir,vise,1
sécurité,social,second,devoir,vise,supprimer,1
sécurité,social,supplémentaire,insérer,rédiger,financement,1
supprimer,administratif,rédactionnel,supprimer,rédactionnel,administratif,1
santé,établissement,financement,devoir,permettre,public,1
social,sécurité,compensation,vise,supprimer,prévoir,1
santé,établissement,armée,devoir,insérer,rédiger,1
santé,équipe,soin,permettre,rédiger,conséquence,1
santé,zone,soin,vise,faire,public,1
santé,ville,objectif,social,sécurité,pouvoir,1
santé,versement,répartition,pouvoir,permettre,insérer,1
sécurité,vigilance,origine,faire,compléter,nouveau,1
ségur,santé,matière,condition,substituer,fin,1
ségur,santé,matière,condition,substituer,terme,1
taux,nombre,croissance,social,sécurité,devoir,1
taux,part,dispositif,vise,insérer,rédiger,1
santé,social,zone,public,compléter,patient,1
taux,pourcent,taxe,vise,rédiger,financement,1
santé,projet,territorial,faire,insérer,rédiger,1
substituer,vise,ramener,vise,nouveau,mettre,1
substituer,territoire,zone,conséquence,définir,rédactionnel,1
taux,pourcent,sécurité,pouvoir,santé,devoir,1
santé,professionnel,public,devoir,vise,rédiger,1
santé,professionnel,libéral,prévoir,charge,année,1
substituer,tax,taxe,degré,substituer,taxe,1
taux,pourcent,taxe,santé,devoir,vise,1
substituer,souffrir,rédactionnel,substituer,rédactionnel,souffrir,1
sucre,montant,pourcent,social,vise,faire,1
santé,professionnel,aide,social,vise,public,1
santé,prix,médicament,vise,permettre,insérer,1
taux,revalorisation,supprimer,social,vise,prévoir,1
taxe,profession,social,devoir,charge,financement,1
santé,prise,charge,social,pouvoir,compléter,1
taxe,professionnel,santé,vise,financement,droit,1
santé,prestataire,domicile,pouvoir,faire,maladie,1
santé,permettre,assurance,social,sécurité,public,1
