,Mot Nº1,Mot Nº2,Mot Nº3,Mot Nº4,Mot Nº5,Mot Nº6,Mot Nº7,Mot Nº8,Mot Nº9,Mot Nº10
AMANR5L15PO717460B2416P0D1N000468,"('innovant', 3)","('exception', 2)","('inscription', 2)","('produit', 2)","('prestation', 2)","('niveau', 2)","('amélioration', 2)","('service', 2)","('attendre', 2)","('liste', 2)"
AMANR5L15PO717460B2416P0D1N000471,"('article', 5)","('autorisation', 5)","('importation', 5)","('stock', 4)","('sécurité', 4)","('marché', 4)","('titulaire', 3)","('parallèle', 3)","('application', 3)","('national', 3)"
AMANR5L15PO717460B2416P0D1N000473,"('présentation', 3)","('forme', 2)","('dosage', 2)","('adapter', 2)","('cas', 2)","('conditionnement', 2)","('inapproprié', 2)","('substituer', 1)","('vise', 1)","('préciser', 1)"
AMANR5L15PO717460B2416P0D1N000474,"('médicament', 5)","('public', 4)","('développement', 4)","('bis', 3)","('prix', 3)","('insérer', 2)","('comité', 2)","('mentionner', 2)","('montant', 2)","('investissement', 2)"
AMANR5L15PO717460B2416P0D1N000475,"('article', 4)","('dispositif', 3)","('bénéficier', 2)","('prise', 2)","('charge', 2)","('titre', 2)","('autorité', 2)","('niveau', 2)","('innovant', 2)","('périmètre', 2)"
AMANR5L15PO717460B2416P0D1N000476,"('article', 4)","('ressource', 4)","('mentionner', 3)","('degré', 3)","('destiner', 3)","('code', 2)","('action', 2)","('section', 2)","('contribution', 2)","('handicaper', 2)"
AMANR5L15PO717460B2416P0D1N000477,"('échange', 2)","('second', 1)","('substituer', 1)","('réalisation', 1)","('réaliser', 1)","('rédactionnel', 1)",,,,
AMANR5L15PO717460B2416P0D1N000478,"('année', 4)","('sauvegarde', 3)","('substituer', 2)","('clause', 2)","('mécanisme', 2)","('entrée', 2)","('vigueur', 2)","('entreprise', 2)","('gestion', 2)","('donnée', 2)"
AMANR5L15PO717460B2416P0D1N000480,"('pension', 11)","('alimentaire', 10)","('paiement', 6)","('créance', 4)","('débiteur', 4)","('article', 3)","('nombre', 3)","('payer', 3)","('impayé', 3)","('procédure', 3)"
AMANR5L15PO717460B2416P0D1N000481,"('site', 4)","('coordonnée', 3)","('assistant', 2)","('maternel', 2)","('accessibler', 2)","('parent', 2)","('recherche', 2)","('inscrire', 2)","('préalablement', 2)","('compléter', 1)"
AMANR5L15PO717460B2416P0D1N000482,"('générique', 9)","('degré', 4)","('groupe', 4)","('officiel', 4)","('bis', 3)","('article', 3)","('prix', 3)","('spécialité', 3)","('vigueur', 3)","('insérer', 2)"
AMANR5L15PO717460B2416P0D1N000483,"('nombre', 6)","('ligne', 3)","('colonne', 3)","('tableau', 3)","('substituer', 3)","('conséquence', 3)","('dépense', 3)","('supplémentaire', 3)","('pourcent', 3)","('assurance', 2)"
AMANR5L15PO717460B2416P0D1N000484,"('contrat', 3)","('assuré', 3)","('décret', 2)","('arrêté', 2)","('niveau', 2)","('norme', 2)","('tarif', 2)","('sortie', 2)","('affilié', 2)","('régime', 2)"
AMANR5L15PO717460B2416P0D1N000485,"('montant', 3)","('fixer', 3)","('pénalité', 2)","('pouvoir', 2)","('base', 2)","('mensuel', 2)","('calcul', 2)","('allocation', 2)","('familial', 2)","('article', 2)"
AMANR5L15PO717460B2416P0D1N000486,"('article', 6)","('médecin', 6)","('cas', 4)","('désaccord', 4)","('conseil', 4)","('médical', 3)","('décision', 3)","('prévoir', 3)","('supprimer', 3)","('degré', 3)"
AMANR5L15PO717460B2416P0D1N000488,"('développement', 4)","('public', 4)","('santé', 3)","('médicament', 3)","('recherche', 3)","('financement', 3)","('entreprise', 2)","('produit', 2)","('mondial', 2)","('priver', 2)"
AMANR5L15PO717460B2416P0D1N000489,"('recherche', 7)","('médicament', 6)","('investissement', 6)","('public', 6)","('prix', 5)","('développement', 4)","('prendre', 3)","('définition', 3)","('financement', 3)","('insérer', 2)"
AMANR5L15PO717460B2416P0D1N000490,"('médicament', 4)","('article', 3)","('prévoit', 2)","('taux', 2)","('chiffre', 2)","('affaire', 2)","('entreprise', 2)","('pourcent', 2)","('recette', 2)","('euro', 2)"
AMANR5L15PO717460B2416P0D1N000491,"('cotisation', 5)","('employeur', 5)","('salaire', 3)","('smic', 3)","('malus', 3)","('article', 2)","('travail', 2)","('réduction', 2)","('général', 2)","('appliquer', 2)"
AMANR5L15PO717460B2416P0D1N000492,"('prestation', 2)","('million', 2)","('euro', 2)","('familial', 2)","('insérer', 1)","('degré', 1)","('bis', 1)","('mentionner', 1)","('article', 1)","('code', 1)"
AMANR5L15PO717460B2416P0D1N000493,"('âge', 4)","('bénéficiaire', 3)","('fonction', 2)","('aller', 2)","('complémentaire', 2)","('santé', 2)","('participation', 2)","('fin', 1)","('supprimer', 1)","('novembre', 1)"
AMANR5L15PO717460B2416P0D1N000496,"('social', 4)","('supprimer', 2)","('sécurité', 2)","('année', 2)","('prendre', 2)","('acteur', 2)","('perte', 1)","('recette', 1)","('budget', 1)","('induire', 1)"
AMANR5L15PO717460B2416P0D1N000499,"('travail', 3)","('dissimulé', 3)","('supprimer', 2)","('annulation', 2)","('cotisation', 2)","('social', 2)","('infraction', 2)","('article', 1)","('ouvrir', 1)","('possibilité', 1)"
AMANR5L15PO717460B2416P0D1N000504,"('article', 4)","('pourcent', 3)","('prestation', 3)","('pension', 3)","('année', 3)","('supprimer', 2)","('revaloriser', 2)","('servir', 2)","('régime', 2)","('obligatoire', 2)"
AMANR5L15PO717460B2416P0D1N000505,"('développement', 4)","('bis', 3)","('médicament', 3)","('recherche', 3)","('transparence', 3)","('insérer', 2)","('comité', 2)","('produit', 2)","('santé', 2)","('mentionner', 2)"
AMANR5L15PO717460B2416P0D1N000508,"('article', 3)","('revenir', 2)","('plfs', 2)","('expérimentation', 2)","('supprimer', 1)","('numéro', 1)","('décembre', 1)","('financement', 1)","('sécurité', 1)","('social', 1)"
AMANR5L15PO717460B2416P0D1N000509,"('parent', 3)","('patient', 3)","('mineur', 2)","('sclérose', 2)","('plaque', 2)","('expérimentation', 2)","('aide', 2)","('enfant', 2)","('compléter', 1)","('état', 1)"
AMANR5L15PO717460B2416P0D1N000510,"('femme', 4)","('grossesse', 3)","('entretien', 2)","('médecin', 2)","('sage', 2)","('compléter', 1)","('second', 1)","('prénatal', 1)","('précoce', 1)","('obligatoire', 1)"
AMANR5L15PO717460B2416P0D1N000511,"('biologie', 7)","('médical', 6)","('patient', 3)","('dépense', 3)","('pourcent', 3)","('phase', 2)","('analytique', 2)","('examen', 2)","('nombre', 2)","('laboratoire', 2)"
AMANR5L15PO717460B2416P0D1N000514,"('remise', 3)","('article', 3)","('minorer', 2)","('mentionner', 2)","('dispositif', 2)","('entreprise', 2)","('conventionnel', 2)","('supprimer', 1)","('conséquence', 1)","('exploite', 1)"
AMANR5L15PO717460B2416P0D1N000515,"('montant', 5)","('prorata', 3)","('facturer', 3)","('établissement', 3)","('contribution', 3)","('santé', 2)","('produit', 2)","('devoir', 2)","('rembourser', 2)","('entreprise', 2)"
AMANR5L15PO717460B2416P0D1N000516,"('z', 6)","('contribution', 4)","('pourcent', 4)","('multiplier', 4)","('dispositif', 4)","('montant', 3)","('supérieur', 3)","('médical', 3)","('inférieur', 2)","('égal', 2)"
AMANR5L15PO717460B2416P0D1N000517,"('entreprise', 3)","('contribution', 2)","('exploiter', 2)","('rembourser', 2)","('article', 2)","('liste', 2)","('sus', 2)","('pme', 2)","('compléter', 1)","('devoir', 1)"
AMANR5L15PO717460B2416P0D1N000518,"('indépendant', 4)","('article', 4)","('impôt', 3)","('travailleur', 2)","('bénéficier', 2)","('social', 2)","('perte', 2)","('recette', 2)","('compenser', 2)","('devoir', 2)"
AMANR5L15PO717460B2416P0D1N000519,"('recherche', 7)","('médicament', 6)","('investissement', 6)","('public', 6)","('prix', 5)","('développement', 4)","('prendre', 3)","('définition', 3)","('financement', 3)","('insérer', 2)"
AMANR5L15PO717460B2416P0D1N000520,"('développement', 4)","('public', 4)","('santé', 3)","('médicament', 3)","('recherche', 3)","('financement', 3)","('entreprise', 2)","('produit', 2)","('mondial', 2)","('priver', 2)"
AMANR5L15PO717460B2416P0D1N000521,"('degré', 13)","('distributeur', 10)","('exploiter', 9)","('fabricant', 8)","('produit', 7)","('titre', 7)","('article', 5)","('mandataire', 5)","('fournir', 4)","('accord', 4)"
AMANR5L15PO717460B2416P0D1N000522,"('année', 2)","('substituer', 1)","('erreur', 1)","('matériel', 1)",,,,,,
AMANR5L15PO717460B2416P0D1N000523,"('santé', 3)","('syndicat', 2)","('compléter', 1)","('consultation', 1)","('national', 1)","('praticien', 1)","('solliciter', 1)","('ministre', 1)","('charger', 1)","('procéder', 1)"
AMANR5L15PO717460B2416P0D1N000524,"('biologie', 5)","('médical', 4)","('laboratoire', 3)","('condition', 3)","('rédiger', 2)","('examen', 2)","('santé', 2)","('phase', 2)","('analytique', 2)","('permettre', 2)"
AMANR5L15PO717460B2416P0D1N000526,"('pièce', 2)","('détachée', 2)","('réparation', 2)","('garantie', 2)","('sécurité', 2)","('vigilance', 2)","('devoir', 2)","('compléter', 1)","('origine', 1)","('utiliser', 1)"
AMANR5L15PO717460B2416P0D1N000527,"('pièce', 2)","('réparation', 2)","('garantie', 2)","('sécurité', 2)","('vigilance', 2)","('devoir', 2)","('compléter', 1)","('origine', 1)","('détachée', 1)","('utiliser', 1)"
AMANR5L15PO717460B2416P0D1N000528,"('pièce', 2)","('détachée', 2)","('réparation', 2)","('garantie', 2)","('sécurité', 2)","('vigilance', 2)","('devoir', 2)","('compléter', 1)","('origine', 1)","('utiliser', 1)"
AMANR5L15PO717460B2416P0D1N000529,"('garantie', 2)","('sécurité', 2)","('vigilance', 2)","('compléter', 1)","('origine', 1)","('pièce', 1)","('détachée', 1)","('utiliser', 1)","('réparation', 1)","('neuve', 1)"
AMANR5L15PO717460B2416P0D1N000530,"('pharmaceutique', 7)","('médicament', 6)","('permettre', 5)","('population', 5)","('officine', 5)","('article', 4)","('produit', 4)","('commune', 4)","('conséquence', 3)","('directeur', 3)"
AMANR5L15PO717460B2416P0D1N000531,"('substituer', 1)","('exploiter', 1)",,,,,,,,
AMANR5L15PO717460B2416P0D1N000532,"('social', 5)","('article', 4)","('sécurité', 4)","('gestion', 4)","('organisme', 4)","('fin', 3)","('conventionner', 3)","('financement', 2)","('recouvrement', 2)","('procédure', 2)"
AMANR5L15PO717460B2416P0D1N000533,"('article', 10)","('cotisation', 8)","('degré', 6)","('titre', 6)","('social', 6)","('recouvrement', 6)","('maladie', 6)","('insérer', 5)","('code', 5)","('devoir', 5)"
AMANR5L15PO717460B2416P0D1N000535,"('exonération', 4)","('dispositif', 4)","('article', 3)","('social', 3)","('compensation', 3)","('entreprise', 3)","('jei', 3)","('régime', 2)","('innovant', 2)","('recherche', 2)"
AMANR5L15PO717460B2416P0D1N000536,"('article', 5)","('fonction', 4)","('public', 4)","('numéro', 3)","('territorial', 2)","('montant', 2)","('indemnité', 2)","('spécifique', 2)","('rupture', 2)","('conventionnel', 2)"
AMANR5L15PO717460B2416P0D1N000537,"('présence', 7)","('parental', 6)","('article', 4)","('disposition', 4)","('pouvoir', 4)","('fractionner', 4)","('temps', 4)","('partiel', 4)","('numéro', 3)","('janvier', 3)"
AMANR5L15PO717460B2416P0D1N000539,"('montant', 4)","('milliard', 4)","('euro', 4)","('substituer', 2)","('conséquence', 2)","('régime', 2)","('hôpital', 2)","('ministre', 2)","('supplémentaire', 2)","('pourcent', 2)"
AMANR5L15PO717460B2416P0D1N000540,"('conséquence', 6)","('article', 6)","('médicament', 6)","('public', 4)","('substituer', 3)","('rédiger', 3)","('bis', 3)","('décret', 3)","('développement', 3)","('prendre', 3)"
AMANR5L15PO717460B2416P0D1N000541,"('maladie', 4)","('branche', 4)","('pourcent', 4)","('tableau', 3)","('travail', 3)","('conséquence', 3)","('contribution', 3)","('supplémentaire', 3)","('dépense', 3)","('rédiger', 2)"
AMANR5L15PO717460B2416P0D1N000542,"('régime', 6)","('dépense', 6)","('général', 5)","('pourcent', 5)","('solidarité', 5)","('annexe', 4)","('b', 4)","('conséquence', 3)","('assurance', 3)","('maladie', 3)"
AMANR5L15PO717460B2416P0D1N000543,"('maladie', 4)","('branche', 4)","('pourcent', 4)","('tableau', 3)","('travail', 3)","('conséquence', 3)","('contribution', 3)","('supplémentaire', 3)","('dépense', 3)","('rédiger', 2)"
AMANR5L15PO717460B2416P0D1N000546,"('présence', 7)","('parental', 6)","('article', 4)","('disposition', 4)","('pouvoir', 4)","('fractionner', 4)","('temps', 4)","('partiel', 4)","('numéro', 3)","('janvier', 3)"
AMANR5L15PO717460B2416P0D1N000547,"('présence', 8)","('parental', 7)","('pouvoir', 5)","('article', 4)","('disposition', 4)","('fractionner', 4)","('temps', 4)","('partiel', 4)","('numéro', 3)","('janvier', 3)"
AMANR5L15PO717460B2416P0D1N000548,"('invalidité', 9)","('pension', 7)","('article', 5)","('revenu', 5)","('calcul', 5)","('montant', 5)","('code', 4)","('professionnel', 3)","('mentionner', 3)","('mode', 3)"
AMANR5L15PO420120B3397P0D1N000001,"('numéro', 7)","('identification', 6)","('pièce', 5)","('social', 4)","('prestation', 4)","('bénéficiaire', 3)","('transformer', 3)","('répertoire', 3)","('justificatif', 3)","('nia', 3)"
AMANR5L15PO420120B3397P0D1N000013,"('durée', 4)","('social', 2)","('droit', 2)","('article', 1)","('code', 1)","('sécurité', 1)","('long', 1)","('vie', 1)","('remplacer', 1)","('inspir', 1)"
AMANR5L15PO420120B3397P0D1N000015,"('expérimentation', 4)","('article', 3)","('financement', 3)","('sécurité', 3)","('social', 3)","('santé', 3)","('mois', 2)","('comité', 2)","('scientifique', 2)","('condition', 2)"
AMANR5L15PO420120B3397P0D1N000017,"('autonomie', 5)","('dépense', 4)","('branche', 3)","('article', 3)","('maladie', 2)","('sein', 2)","('milliard', 2)","('santé', 2)","('création', 2)","('supprimer', 1)"
AMANR5L15PO420120B3397P0D1N000018,"('article', 6)","('dispositif', 5)","('sécurité', 3)","('social', 3)","('suppression', 3)","('emploi', 3)","('travailleur', 3)","('to', 3)","('agricole', 3)","('financement', 2)"
AMANR5L15PO420120B3397P0D1N000019,"('naissance', 8)","('prime', 7)","('enfant', 7)","('verser', 5)","('degré', 3)","('mois', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('insérer', 2)"
AMANR5L15PO420120B3397P0D1N000027,"('besoin', 6)","('handicap', 5)","('financement', 3)","('métier', 3)","('autonomie', 3)","('santé', 3)","('évaluer', 2)","('couvert', 2)","('attractivité', 2)","('politique', 2)"
AMANR5L15PO420120B3397P0D1N000034,"('supprimer', 2)","('contribution', 2)","('santé', 2)","('professionnel', 2)","('devoir', 2)","('syndicat', 2)","('conséquence', 1)","('prévoir', 1)","('article', 1)","('code', 1)"
AMANR5L15PO420120B3397P0D1N000037,"('recette', 7)","('section', 6)","('affectation', 5)","('cnsa', 3)","('financement', 3)","('supprimer', 2)","('budget', 2)","('principe', 2)","('encadrement', 2)","('hypothèse', 2)"
AMANR5L15PO420120B3397P0D1N000046,"('article', 6)","('code', 4)","('sécurité', 4)","('social', 4)","('action', 4)","('entreprise', 3)","('gratuit', 3)","('exonération', 3)","('patronal', 3)","('petit', 2)"
AMANR5L15PO420120B3397P0D1N000048,"('obésité', 12)","('ambulance', 9)","('transport', 8)","('soin', 5)","('pouvoir', 4)","('surcoût', 3)","('souffrir', 3)","('santé', 3)","('charge', 3)","('patient', 3)"
AMANR5L15PO420120B3397P0D1N000054,"('financement', 6)","('million', 6)","('article', 4)","('sécurité', 3)","('social', 3)","('service', 3)","('domicile', 3)","('euro', 3)","('crédit', 3)","('autonomie', 3)"
AMANR5L15PO420120B3397P0D1N000056,"('établissement', 9)","('agent', 8)","('public', 6)","('service', 6)","('santé', 5)","('décret', 4)","('fonction', 4)","('hospitalier', 4)","('infirmier', 4)","('domicile', 4)"
AMANR5L15PO420120B3397P0D1N000057,"('mars', 2)","('droit', 2)","('réserve', 2)","('prévoyance', 2)","('caisse', 2)","('substituer', 1)","('juillet', 1)","('conséquence', 1)","('procéder', 1)","('substitution', 1)"
AMANR5L15PO420120B3397P0D1N000058,"('revalorisation', 4)","('métier', 4)","('social', 4)","('professionnel', 4)","('santé', 3)","('part', 3)","('soin', 3)","('exercer', 3)","('pouvoir', 3)","('centre', 3)"
AMANR5L15PO420120B3397P0D1N000060,"('degré', 4)","('charge', 3)","('participation', 2)","('pouvoir', 2)","('article', 2)","('urgence', 2)","('forfait', 2)","('unique', 2)","('créer', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B3397P0D1N000062,"('santé', 8)","('grippe', 7)","('établissement', 6)","('contre', 6)","('article', 4)","('public', 4)","('organisme', 4)","('charger', 4)","('vaccination', 4)","('arrêté', 3)"
AMANR5L15PO420120B3397P0D1N000064,"('santé', 8)","('domicile', 8)","('prestataire', 7)","('service', 6)","('matériel', 5)","('article', 4)","('code', 3)","('distributeur', 3)","('médical', 3)","('formation', 3)"
AMANR5L15PO420120B3397P0D1N000065,"('degré', 4)","('charge', 3)","('participation', 2)","('pouvoir', 2)","('article', 2)","('urgence', 2)","('forfait', 2)","('unique', 2)","('créer', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B3397P0D1N000066,"('financement', 6)","('million', 6)","('article', 4)","('sécurité', 3)","('social', 3)","('service', 3)","('domicile', 3)","('euro', 3)","('crédit', 3)","('autonomie', 3)"
AMANR5L15PO420120B3397P0D1N000068,"('enfant', 10)","('allocation', 8)","('autonomie', 6)","('aeeh', 6)","('dépense', 5)","('article', 4)","('branche', 4)","('prestation', 4)","('compensation', 4)","('handicap', 4)"
AMANR5L15PO420120B3397P0D1N000074,"('revalorisation', 4)","('métier', 4)","('social', 4)","('professionnel', 4)","('santé', 3)","('part', 3)","('soin', 3)","('exercer', 3)","('pouvoir', 3)","('centre', 3)"
AMANR5L15PO420120B3397P0D1N000079,"('téléconsultation', 12)","('prise', 8)","('charge', 8)","('santé', 8)","('article', 6)","('assurance', 5)","('maladie', 5)","('risque', 5)","('permettre', 5)","('consultation', 5)"
AMANR5L15PO420120B3397P0D1N000082,"('santé', 13)","('travail', 6)","('travailleur', 5)","('infirmier', 5)","('agricole', 4)","('risque', 3)","('expérimentation', 3)","('degré', 2)","('coordination', 2)","('cadre', 2)"
AMANR5L15PO420120B3397P0D1N000083,"('santé', 8)","('infirmier', 6)","('vaccination', 6)","('public', 6)","('article', 5)","('expérimentation', 5)","('code', 4)","('vaccinal', 4)","('établir', 4)","('état', 3)"
AMANR5L15PO420120B3397P0D1N000084,"('infirmier', 14)","('prescription', 7)","('expérimentation', 6)","('permettre', 5)","('médecin', 5)","('pansement', 4)","('évaluation', 4)","('état', 3)","('pouvoir', 3)","('santé', 3)"
AMANR5L15PO420120B3397P0D1N000087,"('article', 2)","('dispositif', 2)","('prise', 2)","('charge', 2)","('cas', 2)","('risque', 2)","('grave', 2)","('devoir', 2)","('conseil', 2)","('supprimer', 1)"
AMANR5L15PO420120B3397P0D1N000089,"('droit', 4)","('allocation', 4)","('invalidité', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('organisme', 2)","('servir', 2)","('assurer', 2)","('supplémentaire', 2)"
AMANR5L15PO420120B3397P0D1N000090,"('suivi', 4)","('représentant', 3)","('social', 3)","('acteur', 3)","('conseil', 3)","('surveillance', 3)","('article', 2)","('sanitaire', 2)","('assurance', 2)","('maladie', 2)"
AMANR5L15PO420120B3397P0D1N000092,"('besoin', 6)","('handicap', 4)","('financement', 3)","('métier', 3)","('autonomie', 3)","('pch', 3)","('santé', 3)","('évaluer', 2)","('couvert', 2)","('attractivité', 2)"
AMANR5L15PO420120B3397P0D1N000096,"('homéopathie', 7)","('médicament', 7)","('social', 6)","('risque', 6)","('homéopathique', 5)","('traitement', 5)","('remboursement', 4)","('coût', 4)","('sécurité', 4)","('déremboursement', 4)"
AMANR5L15PO420120B3397P0D1N000097,"('vétérinaire', 16)","('rural', 8)","('article', 4)","('social', 4)","('exercice', 4)","('élevage', 4)","('sécurité', 3)","('retraité', 3)","('zone', 3)","('agriculture', 3)"
AMANR5L15PO420120B3397P0D1N000099,"('supprimer', 2)","('aller', 2)","('budget', 2)","('autonomie', 2)","('affectation', 2)","('recette', 2)","('cnsa', 2)","('article', 1)","('appui', 1)","('proposition', 1)"
AMANR5L15PO420120B3397P0D1N000101,"('pourcent', 13)","('dépassement', 9)","('honoraire', 7)","('acte', 4)","('soin', 4)","('pouvoir', 3)","('accès', 3)","('vigueur', 3)","('optam', 3)","('santé', 3)"
AMANR5L15PO420120B3397P0D1N000107,"('financier', 7)","('acos', 7)","('social', 5)","('cdc', 5)","('caisse', 4)","('dépôt', 4)","('sécurité', 4)","('emprunt', 4)","('marché', 4)","('agence', 3)"
AMANR5L15PO420120B3397P0D1N000113,"('traitement', 6)","('complémentaire', 5)","('médecine', 4)","('soin', 3)","('santé', 3)","('ex', 3)","('patient', 3)","('maladie', 3)","('social', 2)","('compléter', 2)"
AMANR5L15PO420120B3397P0D1N000114,"('montant', 4)","('euro', 4)","('pourcent', 3)","('dépense', 3)","('hôpital', 3)","('ondam', 3)","('milliard', 3)","('soin', 3)","('ligne', 2)","('second', 2)"
AMANR5L15PO420120B3397P0D1N000115,"('juge', 5)","('liberté', 5)","('contention', 4)","('saisir', 3)","('isolement', 3)","('contrôle', 3)","('pouvoir', 2)","('détention', 2)","('substituer', 1)","('invalidation', 1)"
AMANR5L15PO420120B3397P0D1N000119,"('article', 3)","('travail', 3)","('agricole', 3)","('permettre', 2)","('infirmier', 2)","('médecin', 2)","('travailleur', 2)","('professionnel', 2)","('risque', 2)","('chimique', 2)"
AMANR5L15PO420120B3397P0D1N000121,"('dépense', 9)","('soin', 8)","('ville', 8)","('objectif', 3)","('régulation', 3)","('mécanisme', 3)","('article', 2)","('dépassement', 2)","('maitrise', 2)","('mise', 2)"
AMANR5L15PO420120B3397P0D1N000125,"('urgence', 4)","('soin', 4)","('charge', 2)","('patient', 2)","('hôpital', 2)","('accès', 2)","('aller', 2)","('ville', 2)","('raison', 2)","('supprimer', 1)"
AMANR5L15PO420120B3397P0D1N000126,"('reprise', 4)","('hôpital', 4)","('dette', 3)","('investissement', 3)","('supprimer', 2)","('hospitalier', 2)","('matière', 2)","('échange', 2)","('devoir', 2)","('engagement', 2)"
AMANR5L15PO420120B3397P0D1N000127,"('hôpital', 6)","('financier', 3)","('reprise', 3)","('dette', 3)","('investissement', 3)","('ars', 3)","('assainissement', 2)","('transformation', 2)","('marge', 2)","('manœuvre', 2)"
AMANR5L15PO420120B3397P0D1N000129,"('revalorisation', 4)","('métier', 4)","('social', 4)","('santé', 3)","('part', 3)","('soin', 3)","('professionnel', 3)","('exercer', 3)","('pouvoir', 3)","('centre', 3)"
AMANR5L15PO420120B3397P0D1N000130,"('autonomie', 4)","('service', 2)","('public', 2)","('décentraliser', 2)","('droit', 2)","('insérer', 1)","('degré', 1)","('coordonner', 1)","('création', 1)","('nouveau', 1)"
AMANR5L15PO420120B3397P0D1N000131,"('autonomie', 5)","('droit', 3)","('garantir', 3)","('branche', 3)","('établir', 2)","('universel', 2)","('libre', 2)","('choix', 2)","('maintien', 2)","('domicile', 2)"
AMANR5L15PO420120B3397P0D1N000132,"('article', 2)","('caisse', 2)","('assurance', 2)","('maladie', 2)","('supprimer', 1)","('prévoit', 1)","('ponction', 1)","('excédent', 1)","('industrie', 1)","('électrique', 1)"
AMANR5L15PO420120B3397P0D1N000133,"('montant', 4)","('ondam', 4)","('hôpital', 4)","('lit', 4)","('ligne', 3)","('dépense', 3)","('crise', 3)","('sanitaire', 3)","('second', 2)","('colonne', 2)"
AMANR5L15PO420120B3397P0D1N000134,"('complémentaire', 5)","('gestion', 3)","('salarié', 3)","('entreprise', 3)","('faillite', 3)","('fonds', 2)","('contribution', 2)","('exceptionnel', 2)","('organisme', 2)","('mission', 2)"
AMANR5L15PO420120B3397P0D1N000135,"('organisme', 3)","('régir', 2)","('code', 2)","('assurance', 2)","('contribution', 2)","('complémentaire', 2)","('compléter', 1)","('pourcent', 1)","('mutualité', 1)","('instaur', 1)"
AMANR5L15PO420120B3397P0D1N000138,"('test', 10)","('euro', 7)","('social', 5)","('sécurité', 4)","('dépistage', 4)","('participation', 3)","('forfaitaire', 3)","('pcr', 3)","('virologique', 3)","('laboratoire', 3)"
AMANR5L15PO420120B3397P0D1N000140,"('santé', 6)","('donnée', 4)","('vie', 3)","('réel', 3)","('évaluation', 2)","('système', 2)","('health', 2)","('data', 2)","('hub', 2)","('objectif', 2)"
AMANR5L15PO420120B3397P0D1N000145,"('entretien', 4)","('accouchement', 4)","('précoce', 3)","('femme', 3)","('santé', 2)","('postnatal', 2)","('mois', 2)","('dépression', 2)","('accompagner', 2)","('parent', 2)"
AMANR5L15PO420120B3397P0D1N000152,"('transport', 8)","('maritime', 8)","('charge', 6)","('français', 5)","('entreprise', 5)","('net', 5)","('article', 4)","('code', 4)","('salarial', 4)","('concurrence', 4)"
AMANR5L15PO420120B3397P0D1N000154,"('public', 4)","('établissement', 3)","('article', 2)","('code', 2)","('général', 2)","('impôt', 2)","('santé', 2)","('taxe', 2)","('salaire', 2)","('devoir', 2)"
AMANR5L15PO420120B3397P0D1N000155,"('compter', 3)","('janvier', 3)","('assurance', 3)","('maladie', 3)","('article', 2)","('code', 2)","('sécurité', 2)","('social', 2)","('rémunération', 2)","('verser', 2)"
AMANR5L15PO420120B3397P0D1N000156,"('article', 3)","('code', 2)","('distribuer', 2)","('bénéfice', 2)","('entreprise', 2)","('sécurité', 1)","('social', 1)","('compléter', 1)","('rédiger', 1)","('applique', 1)"
AMANR5L15PO420120B3397P0D1N000157,"('degré', 5)","('entreprise', 5)","('investissement', 3)","('cotisation', 3)","('allègement', 3)","('terme', 3)","('emploi', 3)","('sécurité', 2)","('social', 2)","('réduction', 2)"
AMANR5L15PO420120B3397P0D1N000158,"('social', 3)","('sécurité', 2)","('nombre', 2)","('allègement', 2)","('rémunération', 2)","('fois', 2)","('économique', 2)","('dispositif', 2)","('recette', 2)","('milliard', 2)"
AMANR5L15PO420120B3397P0D1N000159,"('entreprise', 6)","('degré', 5)","('réduction', 4)","('investissement', 4)","('cotisation', 4)","('patronal', 4)","('allègement', 4)","('salaire', 3)","('fillon', 3)","('emploi', 3)"
AMANR5L15PO420120B3397P0D1N000160,"('entreprise', 3)","('salarié', 3)","('rémunération', 3)","('salaire', 3)","('social', 2)","('réduction', 2)","('pourcent', 2)","('cotisation', 2)","('patronal', 2)","('article', 1)"
AMANR5L15PO420120B3397P0D1N000161,"('article', 18)","('social', 8)","('relatif', 6)","('code', 4)","('degré', 4)","('janvier', 4)","('cotisation', 4)","('supprimer', 4)","('numéro', 4)","('sécurité', 3)"
AMANR5L15PO420120B3397P0D1N000162,"('social', 4)","('sécurité', 2)","('pouvoir', 2)","('achat', 2)","('dispositif', 2)","('remettre', 2)","('cause', 2)","('travail', 2)","('article', 1)","('code', 1)"
AMANR5L15PO420120B3397P0D1N000163,"('social', 12)","('cotisation', 5)","('section', 3)","('sécurité', 3)","('revenu', 3)","('financier', 3)","('société', 3)","('taux', 3)","('sanitaire', 3)","('code', 2)"
AMANR5L15PO420120B3397P0D1N000164,"('exonération', 5)","('social', 4)","('évaluation', 4)","('dispositif', 3)","('cotisation', 3)","('impact', 2)","('emploi', 2)","('salaire', 2)","('investissement', 2)","('entreprise', 2)"
AMANR5L15PO420120B3397P0D1N000165,"('social', 3)","('csg', 3)","('revenu', 3)","('augmenter', 3)","('point', 3)","('sécurité', 2)","('taux', 2)","('pourcent', 2)","('financer', 2)","('capital', 2)"
